;angiodysplasia;erosion;stenosis;lymphangiectasia;lymph follicle;SMT;polyp-like;bleeding;diverticulum;erythema;foreign body;vein
166;6143;499;7244;6150;886;8054;2502;7691;-1;1911;2729;2350
167;6144;527;7245;6151;905;8055;2579;7706;-1;1912;2730;2351
168;6145;528;7246;6152;912;8056;2586;7777;-1;1913;2731;2352
169;6289;533;7550;6153;961;8416;2608;7781;-1;1914;2732;2353
170;6423;535;7554;6154;962;8645;2827;7782;-1;1915;2733;2354
171;6582;538;7556;6155;963;8647;2828;7783;-1;1916;2734;2355
172;6692;539;7558;6156;964;8648;2829;7784;-1;1917;2735;2356
173;6743;561;7559;6160;965;8649;2830;7785;-1;1918;2736;2362
174;6744;573;7560;6161;966;8650;2831;7786;-1;1919;2737;2363
175;6755;577;7561;6165;967;8651;2832;7787;-1;1920;2738;2364
176;6758;585;7562;6166;968;9468;2833;7788;-1;1921;2739;2365
177;6769;586;7563;6246;969;9488;2834;7789;-1;1922;2740;2366
178;6770;587;7564;6313;970;9491;2835;7790;-1;1923;2741;2367
179;6771;588;7565;6323;971;9748;2836;7791;-1;1924;2742;2368
180;6772;641;7566;6428;972;9750;2837;7889;-1;1925;2743;2369
181;6773;707;7577;6429;973;9751;2838;7892;-1;1926;2744;2370
182;6774;708;7580;6430;974;10039;2839;7893;-1;1962;2745;2371
183;6775;709;7581;6431;975;10472;2840;7894;-1;2002;2746;2372
184;6817;715;7582;6434;976;10514;2841;7895;-1;2638;2747;2373
185;6886;725;7583;6435;977;10555;2842;7896;-1;2809;2748;2374
186;6891;726;7584;6436;978;10579;2843;7897;-1;2812;2749;2375
187;6982;727;7585;6437;979;10714;2844;7898;-1;2814;2750;2376
188;7086;728;7586;6438;980;10766;2845;7899;-1;2816;2751;2377
189;7096;729;7587;6440;981;10794;2846;7900;-1;2862;2752;2378
190;7147;730;7588;6441;982;10795;2847;7901;-1;2958;2753;2379
191;7173;731;7589;6455;983;10796;2848;7902;-1;3257;2754;2380
192;7237;732;7590;6456;984;10797;2849;7903;-1;3566;2755;2381
193;7262;733;7591;6457;985;10803;2850;8074;-1;3567;2756;2382
194;7263;734;7592;6458;986;10867;2851;8075;-1;3568;2757;2383
195;7264;735;7593;6459;987;10868;2852;8076;-1;3569;2758;2384
196;7265;736;7594;6460;988;10869;2853;8077;-1;3570;2761;2385
197;7266;737;7595;6461;989;10870;2854;8078;-1;3571;2762;2386
198;7267;747;7596;6462;990;10885;2855;8079;-1;3572;2763;2387
199;7268;749;7597;6463;991;10887;2856;8080;-1;3574;2764;2388
200;7269;750;7598;6464;992;10888;2857;8081;-1;5381;2765;2389
201;7270;751;7599;6465;994;10889;2858;8082;-1;5420;2766;2390
202;7271;752;7600;6466;995;10890;2859;8083;-1;5437;2767;2391
203;7272;753;7601;6467;996;10891;2860;8084;-1;5438;2768;2392
204;7273;756;7602;6468;997;10892;2861;8085;-1;5439;2769;2393
205;7274;762;7603;6469;1003;10893;2863;8086;-1;5440;2770;2394
206;7275;763;7604;6470;1004;10895;2866;8087;-1;5657;2771;2395
207;7276;764;7606;6472;1005;10897;2867;8088;-1;5658;2772;2396
208;7277;765;7607;6473;1006;10898;2868;8089;-1;5659;2773;2397
209;7278;766;7608;6568;1007;10899;2869;8090;-1;5660;2774;2398
210;7279;768;7609;6584;1008;10903;2870;8091;-1;5661;2775;2399
211;7280;769;7610;6591;1009;10904;2871;8092;-1;5662;2776;2400
212;7281;770;7611;6592;1010;10905;2872;8093;-1;5663;2777;2401
213;7282;772;7612;6593;1011;10906;2873;8094;-1;5664;2778;2402
214;7283;773;7613;6594;1012;10907;2874;8095;-1;5665;2779;2403
215;7284;774;7614;6595;1013;10908;2948;8096;-1;5666;2780;2404
216;7286;775;7615;6596;1014;10909;3285;8316;-1;5667;2782;2405
217;7287;776;7616;6598;1015;10910;5076;8317;-1;5668;2783;2406
218;7288;777;7617;6599;1016;10911;5078;8318;-1;5669;2784;2407
219;7289;778;7618;6600;1017;10913;5079;8319;-1;5670;2785;2408
220;7290;780;7619;6654;1018;10914;5080;8320;-1;6268;2786;2409
221;7291;781;7629;6660;1019;10915;5081;8321;-1;6291;2787;2410
222;7292;782;7632;6882;1020;10916;5082;8322;-1;6359;2788;2411
223;7293;783;7633;6895;1021;10917;5083;8323;-1;6360;2789;2412
224;7294;784;7634;6917;1022;10918;5084;8324;-1;6361;2790;2413
225;7295;785;7635;6984;1023;10919;5085;8325;-1;6363;2791;2414
226;7296;786;7636;6986;1024;10920;5086;8326;-1;6427;2801;2415
227;7297;787;7637;6987;1025;10921;5087;8327;-1;6436;2802;2416
228;7324;788;7638;6988;1026;10924;5088;8328;-1;6437;2803;2417
229;7371;789;7640;6989;1027;11196;5089;8329;-1;6438;2810;2418
230;7372;790;7641;6991;1028;11198;5090;8330;-1;6441;5742;2419
231;7758;791;7642;6992;1029;11216;5091;8335;-1;6442;5744;2420
232;7761;792;7643;6993;1030;11217;5092;8336;-1;6443;5745;2421
233;7778;793;7644;7003;1031;11223;5093;8337;-1;6444;5746;2422
234;7779;794;7645;7007;1032;11224;5094;8338;-1;6445;5747;2423
235;7821;820;7646;7008;1033;11227;5095;8339;-1;6446;5748;2424
236;7906;824;7647;7009;1034;11228;5097;8340;-1;6447;5749;2427
237;7979;826;7649;7037;1035;11229;5098;8341;-1;6448;5760;2442
238;7980;831;7650;7038;1036;11230;5099;8378;-1;6449;5775;2443
239;8061;851;7651;7040;1037;11231;5100;8398;-1;6450;5776;2444
240;8062;891;7652;7041;1038;11235;5101;8508;-1;6451;5777;2445
241;8063;892;7665;7140;1039;11239;5102;8511;-1;6452;5785;2446
242;8064;909;7666;7141;1040;11388;5103;8512;-1;6453;5786;2447
243;8068;910;7667;7142;1041;11389;5104;8513;-1;6454;5787;2448
244;8069;916;7668;7143;1042;11487;5105;8514;-1;6455;5789;2449
245;8070;917;7692;7144;1058;11488;5112;8515;-1;6477;5790;2450
246;8073;918;7693;7180;1059;11489;5114;8516;-1;6478;5792;2451
247;8141;919;7694;7216;1060;11490;5115;8517;-1;6481;5793;2452
248;8148;920;7695;7229;1061;11491;5239;8518;-1;6482;5968;2453
249;8150;921;7698;7230;1062;11492;5248;8519;-1;6498;5977;2454
250;8345;922;7699;7231;1063;11493;5249;8520;-1;6517;5978;2455
251;8346;923;7700;7255;1064;11494;5250;8521;-1;6556;5979;2456
252;8347;924;7701;7257;1065;11495;5251;8522;-1;6557;5984;2457
253;8348;925;7702;7258;1066;11507;5252;8525;-1;6558;5997;2458
254;8349;926;7703;7259;1067;11535;5253;8526;-1;6561;6308;2459
255;8352;927;7704;7260;1068;11536;5256;8527;-1;6562;6311;2460
256;8354;928;7705;7261;1069;11537;5257;8528;-1;6563;6313;2461
257;8379;930;7706;7298;1070;11538;5258;8529;-1;6718;6314;2462
258;8380;931;7707;7299;1071;11574;5259;8530;-1;6740;6315;2463
259;8381;932;7708;7300;1072;11575;5260;8531;-1;6745;6822;2464
260;8385;933;7710;7301;1073;11576;5261;8532;-1;6759;6824;2465
261;8386;934;7711;7302;1074;11577;5262;8780;-1;6760;6825;2466
262;8423;935;7712;7303;1075;11578;5263;8781;-1;6761;6826;2467
263;8433;936;7713;7304;1076;11579;5264;8782;-1;6763;6827;2469
264;8434;937;7714;7305;1077;11580;5265;8783;-1;6764;6828;2470
265;8436;938;7715;7306;1078;11707;5266;8784;-1;6765;6832;2471
266;8437;939;7716;7307;1079;11710;5267;9197;-1;6766;6833;2472
267;8438;940;7717;7308;1080;11715;5268;9198;-1;6782;6834;2474
268;8439;941;7718;7309;1081;11716;5351;9236;-1;6783;6835;2475
269;8440;942;7719;7310;1082;11719;5355;9237;-1;6785;6838;2476
270;8441;943;7720;7311;1083;11747;5356;9238;-1;6795;6839;2477
271;8455;944;7721;7312;1084;11748;5357;9239;-1;6807;6840;2478
272;8466;1016;7722;7313;1085;11749;5358;9249;-1;6808;6841;2479
273;8467;1043;7723;7314;1086;11884;5359;9250;-1;6809;6842;2480
274;8473;1126;7726;7315;1087;11885;5360;9251;-1;6811;6843;2481
275;8552;1130;7727;7316;1088;11886;5361;9252;-1;6814;6844;2482
276;8553;1131;7728;7317;1089;11887;5363;9253;-1;6815;6845;2483
277;8557;1132;7729;7318;1090;11889;5364;9254;-1;6816;6846;2484
278;8566;1133;8282;7319;1091;11892;5366;9255;-1;7175;6847;2485
279;8578;1134;8283;7320;1092;11893;5418;9256;-1;7217;6848;2486
280;8579;1135;8284;7321;1093;11894;5419;9257;-1;7220;6849;2487
281;8580;1136;8285;7322;1094;11896;5473;9258;-1;7221;6850;2488
282;8581;1138;8286;7323;1095;11897;5759;9259;-1;7243;6851;2489
283;8586;1141;8287;7448;1096;11898;5799;9260;-1;7344;6852;2490
284;8587;1147;8288;7473;1097;11899;5801;9261;-1;7345;6853;2491
285;8606;1148;8289;7474;1098;11903;5802;9322;-1;7346;6854;2492
286;8607;1149;8290;7475;1099;11991;5803;9329;-1;7347;6855;2493
287;8608;1150;8291;7476;1100;12009;5804;9337;-1;7388;6856;2494
288;8613;1151;8292;7478;1101;12010;5805;9338;-1;7389;6857;2495
289;8614;1152;8293;7479;1102;12038;5806;9340;-1;7391;6858;2496
290;8616;1153;8299;7480;1103;12040;5807;9341;-1;7397;6859;2497
291;8617;1154;8300;7481;1104;12041;5808;9342;-1;7420;6860;2498
292;8618;1155;8302;7482;1105;12042;5809;9343;-1;7762;6861;2500
293;8623;1156;8309;7483;1106;12043;5810;9344;-1;7764;6862;2501
294;8733;1157;8311;7533;1107;12044;5811;9345;-1;7765;6863;2502
295;8752;1158;8428;7732;1108;12048;5812;9346;-1;7766;6864;2503
296;8760;1160;8431;7733;1109;12049;5813;9347;-1;7767;6865;2504
297;8761;1161;9045;7734;1110;12050;5814;9348;-1;7768;6866;2505
298;8762;1245;9046;7735;1111;12051;5815;9349;-1;7769;6867;2506
299;8763;1246;9047;7736;1112;12052;5816;9350;-1;7770;7654;2507
300;8764;1255;9286;7737;1113;12129;5817;9351;-1;7771;7656;2508
301;8765;1256;9545;7738;1114;12130;5818;9352;-1;7772;7657;2509
302;8766;1257;10461;7739;1115;12131;5819;9353;-1;7836;7658;2510
303;8767;1259;10462;7740;1116;12132;5820;9354;-1;7837;7659;2511
304;8768;1268;11515;7741;1117;12133;5821;9355;-1;7840;7665;2512
305;8769;1318;11516;7742;1118;12134;5822;9356;-1;7841;7666;2513
306;8770;1319;11517;7743;1119;12135;5823;9470;-1;7842;7667;2514
307;8771;1320;11518;7744;1120;12136;5826;9471;-1;7843;7668;2515
308;8772;1321;11519;7745;1121;12137;5827;9472;-1;7844;7753;2516
309;8773;1322;11520;7746;1122;12138;5828;9473;-1;7845;7814;2517
310;8774;1417;11521;7747;1123;12139;5829;9474;-1;7846;7819;2518
311;8775;1418;11522;7748;1124;12140;5830;9475;-1;7847;7822;2519
312;8779;1419;11523;7749;1281;12141;5831;9480;-1;7848;7827;2520
313;8837;1420;11524;7750;1288;12142;5832;9534;-1;7849;7828;2521
314;8905;1421;11525;7792;1289;12143;5833;9535;-1;7850;7829;2522
315;8907;1422;11530;7817;1313;12144;5834;9536;-1;7851;7909;2523
316;8912;1423;11531;7818;1314;12145;5835;9537;-1;7852;7913;2524
317;8914;1424;11663;7859;1315;12146;5836;9538;-1;7853;7936;2525
318;8915;1425;11664;7860;1316;12147;5840;9548;-1;7993;7937;2526
319;8947;1426;11665;7861;1373;12148;5841;9631;-1;7996;7938;2527
320;8948;1427;11666;7862;1374;12157;5842;9632;-1;7997;7939;2528
321;8949;1428;11667;7863;1375;12192;5843;9633;-1;7998;7940;2529
322;8950;1430;11669;7887;1376;12193;5844;9634;-1;7999;7941;2530
323;8951;1431;11670;7965;1377;12194;5845;9635;-1;8040;7942;2531
324;8952;1432;11671;7975;1378;12195;5846;9641;-1;8041;7943;2532
325;8954;1433;11757;7976;1379;12196;5847;9642;-1;8059;7944;2533
326;8955;1434;11765;7986;1380;12197;5848;9643;-1;8136;7945;2534
327;8956;1435;11766;8000;1381;12198;5849;9644;-1;8137;7946;2535
328;8962;1436;11774;8001;1382;12199;5850;9645;-1;8138;7947;2536
329;8963;1437;11775;8002;1383;12200;5851;9646;-1;8140;7948;2537
330;8964;1438;11776;8003;1384;12201;5852;9647;-1;8143;7949;2538
331;8965;1439;11777;8004;1385;12202;5853;9648;-1;8160;8596;2539
332;8966;1440;11778;8005;1386;12203;5854;9649;-1;8161;8597;2540
333;8967;1441;11779;8006;1387;12205;5855;9650;-1;8162;8598;2541
334;8968;1442;11944;8007;1388;12206;5856;9651;-1;8163;8630;2542
335;8969;1443;11945;8008;1389;12207;5857;9652;-1;8164;8632;2543
336;8970;1444;12252;8009;1390;12208;5858;9653;-1;8165;8633;2544
337;8971;1445;12253;8010;1391;12209;5860;9654;-1;8166;8634;2545
338;8974;1446;12254;8011;1392;12211;5861;9655;-1;8167;8635;2546
339;8977;1447;12255;8013;1393;12212;5862;9746;-1;8192;8638;2547
340;8978;1448;12256;8014;1394;12221;5863;9747;-1;8201;8639;2548
341;8982;1449;12259;8015;1395;12223;5864;9758;-1;8212;8829;2549
342;8983;1468;12260;8026;1397;12224;5865;9765;-1;8218;8830;2550
343;8984;1483;12261;8027;1398;12232;5866;9766;-1;8219;8846;2551
344;8985;1663;12262;8071;1399;12235;5867;9799;-1;8303;8847;2552
345;8986;1664;12265;8072;1491;12304;5871;10045;-1;8304;8852;2553
346;8991;1665;12266;8146;1492;12305;5959;10046;-1;8306;8853;2554
347;9143;1666;12268;8147;1493;12488;5960;10113;-1;8307;8854;2555
348;9171;1667;12269;8152;1495;12497;5961;10155;-1;8453;8855;2556
349;9226;1668;12270;8153;1496;12498;5966;10178;-1;8454;8856;2557
350;9227;1669;12271;8154;1497;12500;5967;10181;-1;8455;8857;2558
351;9228;1670;12273;8155;1498;12502;5969;10182;-1;8456;8858;2559
352;9229;1672;12274;8157;1501;12503;5970;10183;-1;8457;8859;2560
353;9230;1673;12277;8158;1502;12504;6071;10184;-1;8458;8860;2561
354;9231;1678;12278;8159;1503;12548;6072;10185;-1;8459;8864;2562
355;9232;1679;12279;8245;1504;12849;6073;10186;-1;8460;8865;2563
356;9233;1680;12280;8267;1505;13130;6074;10187;-1;8461;8866;2564
357;9262;1681;12281;8268;1506;13160;6075;10188;-1;8462;8875;2565
358;9263;1686;12553;8269;1510;13165;6081;10189;-1;8463;8876;2566
359;9264;1687;12554;8270;1511;13166;6083;10190;-1;8464;8877;2567
360;9265;1688;12555;8271;1512;13168;6084;10202;-1;8465;8878;2568
361;9266;1689;12556;8295;1513;13169;6085;10212;-1;8466;8879;2569
362;9267;1690;12560;8296;1514;13170;6086;10228;-1;8467;8880;2570
363;9268;1691;12561;8326;1516;13310;6087;10229;-1;8468;8881;2571
364;9282;1692;12562;8329;1517;13311;6088;10230;-1;8469;8882;2572
365;9357;1693;12563;8331;1518;13507;6089;10235;-1;8470;8885;2573
366;9360;1694;12564;8332;1519;13512;6093;10237;-1;8471;8886;2574
367;9386;1695;13369;8333;1520;13517;6095;10245;-1;8472;8887;2575
368;9392;1696;13372;8342;1521;13540;6097;10410;-1;8474;8888;2576
369;9393;1697;13375;8343;1522;13591;6098;10460;-1;8477;8889;2577
370;9399;1698;13377;8344;1523;13596;6099;10576;-1;8478;8891;2578
371;9481;1699;13378;8351;1525;13597;6100;10577;-1;8479;8892;2580
372;9503;1700;13380;8353;1526;13661;6101;10578;-1;8480;8893;2582
373;9505;1701;13382;8417;1527;13671;6102;10580;-1;8482;8900;2583
374;9506;1702;13385;8533;1528;13672;6103;10581;-1;8485;8904;2584
375;9507;1703;13386;8534;1529;13675;6104;10582;-1;8486;8905;2585
376;9509;1704;13387;8535;1530;13676;6105;10583;-1;8487;8906;2586
377;9511;1705;14040;8547;1531;13677;6106;10584;-1;8488;8908;2587
378;9512;1706;15052;8549;1532;13718;6107;10585;-1;8901;8911;2588
379;9513;1707;15053;8550;1533;13719;6108;10586;-1;8902;8990;2589
380;9514;1708;15054;8583;1534;13720;6109;10588;-1;8903;9566;2590
381;9515;1709;15055;8593;1535;13721;6110;10589;-1;9194;9575;2591
382;9516;1710;15056;8594;1536;13722;6111;10590;-1;9195;9576;2592
383;9517;1711;15057;8644;1537;13723;6112;10591;-1;9196;9577;2593
384;9518;1712;15058;9038;1538;13724;6113;10592;-1;9216;9578;2594
